plateau_id,pressure_mean_psi,diameter_mean_in,t_start_s,t_end_s,t_settled_s,n_frames_settled,creep_rate_diam_in_per_s,creep_rate_strain_median_per_s,creep_rate_strain_p90_per_s
0,0.0944286,43.0321,10704.7,11145.1,10764.7,77,-2.23304e-05,-8.18609e-07,8.57806e-07
1,0.146964,43.3457,11480.4,11675.6,11540.4,28,5.35509e-05,-1.76323e-06,-2.48828e-05
2,0.142818,43.3522,11860.7,12136,11920.7,44,0,-1.29342e-06,-3.88192e-06
3,0.1958,43.5723,12521.4,12651.5,12581.4,15,7.33772e-05,5.98017e-07,-4.00501e-05
4,0.19049,43.5815,12811.7,13112,12871.7,49,-2.34759e-05,-4.98927e-07,4.73578e-06
5,0.235047,43.8487,13857.8,14128.1,13917.8,43,-1.82689e-05,-2.94383e-06,9.02386e-06
6,0.281091,44.196,14893.8,15169.1,14953.8,44,0,-3.4789e-06,7.38151e-06
7,0.331288,44.6996,15894.8,16245.1,15954.8,59,5.6276e-05,2.00324e-06,0.000110697
8,0.376341,45.3207,17085.7,17361,17145.7,44,9.98459e-05,-5.31556e-06,0.000252981
9,0.424189,45.7269,18251.8,18492,18311.8,37,8.08935e-05,-1.12144e-05,-1.33638e-05
10,0.473222,46.4351,19452.9,19733.2,19512.9,45,0.000101564,-4.57546e-06,9.44355e-05
11,0.520585,47.5048,21014.4,21274.6,21074.4,41,8.40492e-05,1.00976e-05,8.65537e-05
