plateau_id,pressure_mean_psi,diameter_mean_in,t_start_s,t_end_s,t_settled_s,n_frames_settled,creep_rate_diam_in_per_s,creep_rate_strain_median_per_s,creep_rate_strain_p90_per_s
0,0.0959487,36.5919,270.293,520.541,330.293,39,0,-4.52667e-07,4.08903e-06
1,0.096684,36.6133,590.613,4399.36,650.613,750,6.25199e-06,-2.59218e-07,6.59459e-05
2,0.0960926,36.6231,4469.42,4794.74,4529.42,54,0,9.55451e-07,-3.78148e-05
3,0.0974855,36.6322,4864.83,7342.16,4924.83,484,4.67704e-06,-1.40575e-06,8.38948e-08
4,0.121322,36.8385,7527.37,8343.16,7587.37,152,3.34365e-05,-3.73944e-06,4.19718e-06
5,0.123191,36.8586,8413.24,9254,8473.24,157,0,1.15453e-06,3.03961e-06
6,0.14783,36.9952,9329.06,9619.33,9389.06,47,0,-2.38799e-06,4.22199e-05
7,0.146418,37.0027,9689.4,10234.9,9749.4,98,0,3.84259e-07,4.73761e-05
8,0.171667,37.115,10490.2,10635.3,10550.2,18,0,2.50903e-05,0.000267318
9,0.17188,37.1221,10705.4,10885.5,10765.4,25,0,-2.22926e-05,-1.96622e-05
10,0.172482,37.136,10955.6,11426,11015.6,83,1.90683e-05,-3.01452e-08,2.55193e-05
11,0.172579,37.1551,11496.1,12026.6,11556.1,95,1.93581e-05,-7.789e-07,1.16834e-05
12,0.170167,37.1603,12096.7,12331.9,12156.7,36,0,-1.21729e-05,0.000143966
13,0.197692,37.2899,12647.2,13222.8,12707.2,104,5.62807e-05,6.25232e-06,-4.47177e-07
14,0.199291,37.3188,13292.9,13623.3,13352.9,55,3.0651e-05,-5.39748e-06,-1.0157e-05
15,0.197322,37.3385,13693.3,14043.6,13753.3,59,3.69622e-05,-6.156e-06,2.54739e-05
16,0.19752,37.3633,14113.7,14784.3,14173.7,123,3.62406e-05,2.40121e-06,5.42925e-06
17,0.196828,37.3807,14834.4,15034.6,14894.4,29,0,-1.71918e-05,-3.41927e-05
18,0.195592,37.3932,15104.6,15650.1,15164.6,98,0,1.0888e-06,1.2508e-06
19,0.222882,37.4836,15720.2,15860.3,15780.2,17,0,-0.000117521,8.15074e-05
20,0.222642,37.5282,15930.4,16921.3,15990.4,187,6.121e-05,2.80542e-06,-3.5033e-06
21,0.224893,37.5815,16991.4,17652,17051.4,121,6.43272e-05,1.27429e-06,-1.00543e-05
22,0.222448,37.6216,17662,18297.6,17722,116,4.9502e-05,3.29436e-06,-1.37854e-05
23,0.22169,37.6516,18367.7,18567.9,18427.7,29,0,1.73598e-05,-1.14989e-05
24,0.221941,37.6618,18637.9,18863.2,18697.9,34,0,-5.96249e-06,-0.00015177
25,0.220429,37.6636,18933.2,19478.8,18993.2,98,0,2.19634e-06,1.92003e-05
26,0.248235,37.742,19608.9,19749,19668.9,17,4.81894e-05,-7.07795e-05,8.79842e-06
27,0.247486,37.7632,19819.1,20049.3,19879.1,35,8.94858e-05,-7.04616e-06,-8.91972e-06
28,0.247733,37.8131,20289.5,21000.2,20349.5,131,6.1838e-05,-5.70291e-06,-6.874e-06
29,0.247658,37.8594,21070.3,21886,21130.3,152,5.00683e-05,-3.79168e-06,-6.77241e-06
30,0.246801,37.9158,21956.1,23442.5,22016.1,286,3.68036e-05,-2.49833e-06,1.86975e-06
31,0.273381,37.9353,23652.7,23812.8,23712.7,21,0,-4.84025e-05,-0.000103666
32,0.272461,38.0988,24308.3,24743.6,24368.3,76,7.57286e-05,-5.2879e-06,2.04741e-06
33,0.272359,38.1277,24813.7,25063.9,24873.7,39,0.000104087,-1.0245e-05,-7.5413e-06
34,0.2741,38.1815,25134,26640.3,25194,290,5.2353e-05,-5.68421e-06,-4.21454e-05
35,0.271714,38.223,26710.4,26835.5,26770.4,14,0,-2.11805e-07,-1.65566e-05
36,0.271118,38.2327,26905.6,27045.7,26965.6,17,0,1.60668e-05,9.7436e-05
37,0.272789,38.2683,27095.8,28387,27155.8,247,4.22938e-05,1.47037e-06,-7.01259e-07
38,0.271917,38.3008,28457.1,28632.3,28517.1,24,0,9.66788e-06,4.83517e-06
39,0.272455,38.3135,28702.3,29087.7,28762.3,66,3.11795e-05,2.56725e-06,-7.08532e-06
40,0.272104,38.3302,29157.8,29548.1,29217.8,67,3.11777e-05,1.08332e-06,1.55687e-06
41,0.27289,38.3494,29618.2,30173.7,29678.2,100,3.36951e-05,-2.22303e-06,-6.45059e-07
42,0.297556,38.4183,30183.8,30373.9,30243.8,27,0.000148312,2.39941e-05,1.16058e-05
43,0.297931,38.4791,30554.1,31550.1,30614.1,188,6.74247e-05,-5.18295e-07,-2.19644e-06
44,0.2971,38.5225,31620.2,31925.5,31680.2,50,5.53349e-05,-2.57796e-05,-3.97448e-06
45,0.299126,38.5515,31975.5,32666.1,32035.5,127,4.91341e-05,6.50045e-06,-7.28247e-06
46,0.300982,38.5785,32736.2,33066.5,32796.2,55,3.80919e-05,-8.37079e-06,-2.3206e-05
47,0.296333,38.5909,33136.6,33266.7,33196.6,15,0,-9.63005e-06,3.53127e-05
48,0.296278,38.6006,33336.8,33481.9,33396.8,18,0,-3.45684e-06,2.89783e-05
49,0.298927,38.6222,33552,34087.5,33612,96,3.27345e-05,-3.53719e-06,3.05371e-05
