plateau_id,pressure_mean_psi,diameter_mean_in,t_start_s,t_end_s,t_settled_s,n_frames_settled,creep_rate_diam_in_per_s,creep_rate_strain_median_per_s,creep_rate_strain_p90_per_s
0,0.0985676,37.6993,110.095,350.317,170.095,37,0.000175855,6.17563e-07,3.58775e-06
1,0.0967403,37.7395,600.543,1561.44,660.543,181,0,-2.8398e-08,9.13568e-05
2,0.122343,37.8488,1666.54,1896.76,1726.54,35,5.21609e-05,-1.25897e-07,0.00010394
3,0.122091,37.8657,1966.84,2132.02,2026.84,22,0,2.06895e-08,7.08998e-05
4,0.132747,37.912,2202.09,3027.86,2262.09,154,0.000129426,3.30313e-07,1.58646e-05
5,0.148445,38.0109,3358.22,4189.01,3418.22,155,-6.79443e-06,-2.80025e-06,2.91967e-05
6,0.171649,38.0933,4399.19,5009.79,4459.19,111,0,-5.6514e-07,-1.32883e-05
7,0.196971,38.1774,5149.91,5890.63,5209.91,137,1.66456e-05,-3.42061e-06,-5.12607e-06
8,0.2243,38.2746,6261.03,6416.19,6321.03,20,0,5.66493e-06,7.21553e-06
9,0.223071,38.297,6486.24,6821.55,6546.24,56,6.03592e-05,-4.48848e-06,8.37072e-06
10,0.223098,38.3213,6891.62,7151.83,6951.62,41,8.31551e-05,-6.84985e-06,3.11024e-05
11,0.22452,38.3678,7201.89,8403.02,7261.89,229,3.32647e-05,-4.31997e-06,7.1325e-06
12,0.247812,38.4281,8478.08,8613.23,8538.08,16,0,-2.75332e-05,9.55598e-05
13,0.247886,38.4543,8833.45,9108.73,8893.45,44,6.1266e-05,5.85425e-06,7.4216e-06
14,0.249991,38.4783,9178.82,9769.39,9238.82,107,4.19123e-05,-6.5924e-06,1.17131e-07
15,0.247434,38.5185,10049.7,10820.4,10109.7,314,1.35336e-05,1.22087e-05,2.01136e-05
16,0.273829,38.5959,10995.6,11666.2,11055.6,123,4.14797e-05,-4.25816e-06,3.64709e-06
17,0.271646,38.6294,11786.3,12561.9,11846.3,144,1.29581e-05,-1.41545e-06,-2.05858e-05
18,0.297083,38.6893,12657,12832.2,12717,24,7.77042e-05,-2.48665e-05,-3.54945e-05
19,0.297071,38.7163,12882.3,13427.8,12942.3,98,5.73633e-05,1.48705e-06,-8.91302e-06
20,0.322692,38.7895,13522.8,13773.1,13582.8,39,0.000112926,-3.26748e-06,8.8908e-06
21,0.322545,38.8097,13843.2,14008.3,13903.2,22,9.313e-05,-4.92595e-05,-3.273e-05
22,0.32306,38.842,14223.5,14613.9,14283.5,67,3.15632e-05,-5.14142e-07,-1.67913e-05
23,0.32093,38.8792,14684,15524.8,14744,157,4.89887e-05,-6.03643e-07,-6.17353e-06
24,0.349559,38.9739,15710,16320.6,15770,111,6.19939e-05,-3.6549e-06,-4.49767e-06
25,0.348687,39.0037,16370.6,16505.8,16430.6,16,0,3.10527e-06,3.78705e-05
26,0.347379,39.0229,16756,16956.2,16816,29,4.76762e-05,1.79188e-05,1.71678e-05
27,0.34831,39.0366,17026.3,17226.4,17086.3,29,0,-2.90169e-05,-3.70557e-06
28,0.349732,39.057,17356.6,17691.9,17416.6,56,1.67457e-05,-2.02444e-05,-8.53796e-06
29,0.349377,39.0712,17741.9,18102.3,17801.9,61,0,-1.48647e-06,-4.25941e-06
30,0.348435,39.0892,18292.5,18692.9,18352.5,69,2.06427e-05,9.95273e-07,1.93478e-05
31,0.34825,39.1033,18762.9,19058.2,18822.9,48,2.8147e-05,-1.38279e-06,-3.78088e-05
32,0.34801,39.1116,19128.3,19673.8,19188.3,98,0,3.86181e-07,-6.9477e-07
33,0.377175,39.2026,20034.1,21005,20094.1,183,5.62394e-05,-1.76412e-06,5.47262e-06
34,0.399632,39.336,21615.6,21860.8,21675.6,38,4.11965e-05,1.18846e-05,-2.12345e-05
35,0.400764,39.363,21930.9,22261.2,21990.9,55,2.9416e-05,-3.26386e-06,-1.37308e-05
36,0.401111,39.4066,22521.4,23071.9,22581.4,99,5.68823e-05,-5.68386e-06,-5.40845e-06
37,0.427176,39.4989,23257.1,23397.2,23317.1,17,8.81461e-05,-5.55961e-06,-0.000166094
38,0.427711,39.5638,23567.4,23812.6,23627.4,38,0.000112135,-4.00742e-06,5.6714e-06
39,0.42475,39.6062,24072.8,24368.1,24132.8,48,4.93026e-05,-7.90752e-06,2.38869e-06
40,0.424023,39.6258,24438.2,24713.5,24498.2,44,3.62399e-05,1.00858e-05,-1.87687e-05
41,0.42699,39.6785,25108.9,25644.4,25168.9,96,4.73734e-05,-3.34288e-06,-7.41654e-06
42,0.448414,39.7714,25914.7,26465.2,25974.7,99,1.43101e-05,-6.10543e-06,-2.18846e-05
43,0.471875,39.8717,26880.5,27416.1,26940.5,96,1.07839e-05,-2.88954e-05,-4.62477e-05
44,0.500659,39.9955,27876.5,28151.7,27936.5,44,9.44487e-05,1.24951e-05,2.59267e-05
45,0.502186,40.0391,28221.8,28762.3,28281.8,97,9.81748e-05,-1.65754e-07,-7.56409e-06
46,0.501806,40.0836,28837.4,29227.8,28897.4,67,8.04455e-05,-4.70548e-06,6.85566e-06
47,0.502876,40.1456,29317.9,29938.4,29377.9,113,1.09469e-05,-1.16532e-05,-2.16865e-05
48,0.519878,40.3225,30484,31029.5,30544,98,1.45659e-05,-6.74974e-06,-1.19916e-05
